day,emissions
2018-06-27 00:00:00,9583.995675912
2018-06-28 00:00:00,9581.699351584
2018-06-29 00:00:00,9579.403577455
2018-06-30 00:00:00,9577.108353393
2018-07-01 00:00:00,9574.813679267
2018-07-02 00:00:00,9572.519554944
2018-07-03 00:00:00,9570.225980294
2018-07-04 00:00:00,9567.932955184
2018-07-05 00:00:00,9565.640479482
2018-07-06 00:00:00,9563.348553057
2018-07-07 00:00:00,9561.057175778
2018-07-08 00:00:00,9558.766347512
2018-07-09 00:00:00,9556.476068128
2018-07-10 00:00:00,9554.186337496
2018-07-11 00:00:00,9551.897155482
2018-07-12 00:00:00,9549.608521956
2018-07-13 00:00:00,9547.320436786
2018-07-14 00:00:00,9545.032899842
2018-07-15 00:00:00,9542.745910991
2018-07-16 00:00:00,9540.459470102
2018-07-17 00:00:00,9538.173577045
2018-07-18 00:00:00,9535.888231686
2018-07-19 00:00:00,9533.603433897
2018-07-20 00:00:00,9531.319183545
2018-07-21 00:00:00,9529.035480499
2018-07-22 00:00:00,9526.752324628
2018-07-23 00:00:00,9524.469715801
2018-07-24 00:00:00,9522.187653887
2018-07-25 00:00:00,9519.906138754
2018-07-26 00:00:00,9517.625170272
2018-07-27 00:00:00,9515.344748310
2018-07-28 00:00:00,9513.064872738
2018-07-29 00:00:00,9510.785543422
2018-07-30 00:00:00,9508.506760234
2018-07-31 00:00:00,9506.228523042
2018-08-01 00:00:00,9503.950831716
2018-08-02 00:00:00,9501.673686124
2018-08-03 00:00:00,9499.397086136
2018-08-04 00:00:00,9497.121031621
2018-08-05 00:00:00,9494.845522448
2018-08-06 00:00:00,9492.570558488
2018-08-07 00:00:00,9490.296139608
2018-08-08 00:00:00,9488.022265679
2018-08-09 00:00:00,9485.748936570
2018-08-10 00:00:00,9483.476152150
2018-08-11 00:00:00,9481.203912289
2018-08-12 00:00:00,9478.932216856
2018-08-13 00:00:00,9476.661065722
2018-08-14 00:00:00,9474.390458756
2018-08-15 00:00:00,9472.120395825
2018-08-16 00:00:00,9469.850876803
2018-08-17 00:00:00,9467.581901556
2018-08-18 00:00:00,9465.313469956
2018-08-19 00:00:00,9463.045581872
2018-08-20 00:00:00,9460.778237174
2018-08-21 00:00:00,9458.511435730
2018-08-22 00:00:00,9456.245177414
2018-08-23 00:00:00,9453.979462090
2018-08-24 00:00:00,9451.714289634
2018-08-25 00:00:00,9449.449659912
2018-08-26 00:00:00,9447.185572795
2018-08-27 00:00:00,9444.922028152
2018-08-28 00:00:00,9442.659025856
2018-08-29 00:00:00,9440.396565774
2018-08-30 00:00:00,9438.134647777
2018-08-31 00:00:00,9435.873271736
2018-09-01 00:00:00,9433.612437520
2018-09-02 00:00:00,9431.352145000
2018-09-03 00:00:00,9429.092394046
2018-09-04 00:00:00,9426.833184527
2018-09-05 00:00:00,9424.574516315
2018-09-06 00:00:00,9422.316389280
2018-09-07 00:00:00,9420.058803292
2018-09-08 00:00:00,9417.801758220
2018-09-09 00:00:00,9415.545253938
2018-09-10 00:00:00,9413.289290312
2018-09-11 00:00:00,9411.033867217
2018-09-12 00:00:00,9408.778984518
2018-09-13 00:00:00,9406.524642092
2018-09-14 00:00:00,9404.270839804
2018-09-15 00:00:00,9402.017577527
2018-09-16 00:00:00,9399.764855132
2018-09-17 00:00:00,9397.512672489
2018-09-18 00:00:00,9395.261029469
2018-09-19 00:00:00,9393.009925941
2018-09-20 00:00:00,9390.759361779
2018-09-21 00:00:00,9388.509336851
2018-09-22 00:00:00,9386.259851029
2018-09-23 00:00:00,9384.010904183
2018-09-24 00:00:00,9381.762496184
2018-09-25 00:00:00,9379.514626905
2018-09-26 00:00:00,9377.267296214
2018-09-27 00:00:00,9375.020503984
2018-09-28 00:00:00,9372.774250085
2018-09-29 00:00:00,9370.528534387
2018-09-30 00:00:00,9368.283356763
2018-10-01 00:00:00,9366.038717084
2018-10-02 00:00:00,9363.794615220
2018-10-03 00:00:00,9361.551051042
2018-10-04 00:00:00,9359.308024423
2018-10-05 00:00:00,9357.065535231
2018-10-06 00:00:00,9354.823583341
2018-10-07 00:00:00,9352.582168622
2018-10-08 00:00:00,9350.341290945
2018-10-09 00:00:00,9348.100950182
2018-10-10 00:00:00,9345.861146205
2018-10-11 00:00:00,9343.621878885
2018-10-12 00:00:00,9341.383148093
2018-10-13 00:00:00,9339.144953701
2018-10-14 00:00:00,9336.907295579
2018-10-15 00:00:00,9334.670173600
2018-10-16 00:00:00,9332.433587636
2018-10-17 00:00:00,9330.197537557
2018-10-18 00:00:00,9327.962023236
2018-10-19 00:00:00,9325.727044543
2018-10-20 00:00:00,9323.492601352
2018-10-21 00:00:00,9321.258693532
2018-10-22 00:00:00,9319.025320957
2018-10-23 00:00:00,9316.792483498
2018-10-24 00:00:00,9314.560181025
2018-10-25 00:00:00,9312.328413413
2018-10-26 00:00:00,9310.097180532
2018-10-27 00:00:00,9307.866482254
2018-10-28 00:00:00,9305.636318451
2018-10-29 00:00:00,9303.406688995
2018-10-30 00:00:00,9301.177593758
2018-10-31 00:00:00,9298.949032613
2018-11-01 00:00:00,9296.721005429
2018-11-02 00:00:00,9294.493512081
2018-11-03 00:00:00,9292.266552440
2018-11-04 00:00:00,9290.040126379
2018-11-05 00:00:00,9287.814233769
2018-11-06 00:00:00,9285.588874483
2018-11-07 00:00:00,9283.364048392
2018-11-08 00:00:00,9281.139755370
